datetime,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
2021-05-25 15:00:47.928831,28.0,Belgium,"1,049,822",+941,"24,853 ",+11,"943,265","+3,562","81,704",542,"90,232","2,136","13,657,044","1,173,815","11,634,750 ",Europe,11,468,1.0,81,0.9,"7,022"
2021-05-25 15:00:47.928831,29.0,Pakistan,"905,852","+2,253","20,400 ",+92,"823,157","+2,783","62,295","4,723","4,031",91,"12,884,544","57,338","224,711,695 ",Asia,248,"11,015",17.0,10,0.4,277
2021-05-25 15:00:47.928831,30.0,Portugal,"845,840",+375,"17,021 ",+3,"806,648",+669,"22,171",52,"83,170","1,674","11,451,197","1,125,972","10,170,058 ",Europe,12,598,1.0,37,0.3,"2,180"
2021-05-25 15:00:47.928831,31.0,Israel,"839,378",+17,"6,406 ",,"832,516",+75,456,55,"90,004",687,"14,587,504","1,564,176","9,326,000 ",Asia,11,"1,456",1.0,2,,49
2021-05-25 15:00:47.928831,32.0,Hungary,"802,510",+164,"29,581 ",+21,"671,392","+1,187","101,537",159,"83,262","3,069","5,750,359","596,612","9,638,364 ",Europe,12,326,2.0,17,2.0,"10,535"
2021-05-25 15:00:47.928831,33.0,Bangladesh,"790,521",,"12,401 ",,"731,531",,"46,589","1,129","4,758",75,"5,838,295","35,138","166,154,937 ",Asia,210,"13,399",28.0,,,280
2021-05-25 15:00:47.928831,34.0,Jordan,"731,436",,"9,384 ",,"711,614",,"10,438",637,"71,057",912,"7,139,945","693,629","10,293,610 ",Asia,14,"1,097",1.0,,,"1,014"
2021-05-25 15:00:47.928831,35.0,Japan,"721,912","+2,715","12,398 ",+86,"645,157","+5,270","64,357","1,294","5,724",98,"13,875,603","110,011","126,129,376 ",Asia,175,"10,173",9.0,22,0.7,510
2021-05-25 15:00:47.928831,36.0,Serbia,"710,729",+414,"6,801 ",+13,"690,453","+1,355","13,475",58,"81,638",781,"4,097,597","470,674","8,705,814 ",Europe,12,"1,280",2.0,48,1.0,"1,548"
2021-05-25 15:00:47.928831,37.0,Switzerland,"690,123","+2,770","10,782 ",+3,"635,778","+1,093","43,563",152,"79,222","1,238","7,549,270","866,616","8,711,201 ",Europe,13,808,1.0,318,0.3,"5,001"
2021-05-25 15:00:47.928831,38.0,Austria,"642,138",+398,"10,551 ",+4,"624,549",+881,"7,038",218,"70,936","1,166","39,471,518","4,360,358","9,052,357 ",Europe,14,858,0.0,44,0.4,777
2021-05-25 15:00:47.928831,39.0,UAE,"559,291","+1,672","1,658 ",+4,"539,161","+1,630","18,472",,"55,945",166,"49,009,805","4,902,417","9,997,069 ",Asia,18,"6,030",0.0,167,0.4,"1,848"
2021-05-25 15:00:47.928831,40.0,Lebanon,"538,668",,"7,684  ",,"511,931",,"19,053",234,"79,239","1,130","4,312,975","634,444","6,798,035 ",Asia,13,885,2.0,,,"2,803"
2021-05-25 15:00:47.928831,41.0,Nepal,"528,848","+8,387","6,700 ",+169,"404,887","+6,404","117,261",,"17,864",226,"2,958,620","99,941","29,603,689 ",Asia,56,"4,418",10.0,283,6.0,"3,961"
2021-05-25 15:00:47.928831,42.0,Malaysia,"525,889","+7,289","2,369 ",+60,"460,062","+3,789","63,458",726,"16,065",72,"11,398,905","348,206","32,736,072 ",Asia,62,"13,819",3.0,223,2.0,"1,938"
2021-05-25 15:00:47.928831,43.0,Morocco,"517,113",,"9,126 ",,"505,392",,"2,595",95,"13,863",245,"6,439,348","172,632","37,301,108  ",Africa,72,"4,087",6.0,,,70
2021-05-25 15:00:47.928831,44.0,Saudi Arabia,"443,460","+1,389","7,278 ",+14,"426,589",+912,"9,593","1,348","12,564",206,"18,695,690","529,664","35,297,285 ",Asia,80,"4,850",2.0,39,0.4,272
2021-05-25 15:00:47.928831,45.0,Ecuador,"419,198",,"20,210 ",,"366,425",,"32,563",579,"23,443","1,130","1,398,548","78,210","17,881,956 ",South America,43,885,13.0,,,"1,821"
2021-05-25 15:00:47.928831,46.0,Bulgaria,"416,727",,"17,513 ",,"373,703",,"25,511",406,"60,382","2,538","2,754,463","399,111","6,901,504 ",Europe,17,394,3.0,,,"3,696"
2021-05-25 15:00:47.928831,47.0,Greece,"391,181",,"11,822 ",,"357,782",,"21,577",563,"37,695","1,139","9,208,817","887,392","10,377,393 ",Europe,27,878,1.0,,,"2,079"
2021-05-25 15:00:47.928831,48.0,Slovakia,"388,986",+132,"12,301 ",+5,"373,840",+346,"2,845",117,"71,217","2,252","2,805,853","513,703","5,462,011 ",Europe,14,444,2.0,24,0.9,521
2021-05-25 15:00:47.928831,49.0,Belarus,"387,818",+840,"2,791 ",+11,"377,869",+764,"7,158",,"41,054",295,"6,230,051","659,506","9,446,539 ",Europe,24,"3,385",2.0,89,1.0,758
2021-05-25 15:00:47.928831,50.0,Kazakhstan,"376,572","+1,558","3,828 ",+23,"340,978","+2,248","31,766",221,"19,843",202,"11,270,949","593,921","18,977,195 ",Asia,50,"4,957",2.0,82,1.0,"1,674"
2021-05-25 15:00:47.928831,51.0,Panama,"374,356",,"6,346 ",,"362,177",,"5,833",105,"85,561","1,450","2,589,074","591,745","4,375,324 ",North America,12,689,2.0,,,"1,333"
2021-05-25 15:00:47.928831,52.0,Croatia,"354,383",+323,"7,950 ",+21,"343,414",+546,"3,019",109,"86,804","1,947","1,981,396","485,332","4,082,555 ",Europe,12,514,2.0,79,5.0,739
